Category,Title,Writer,Book_made,Sell_price,Image_uri
한국소설,불편한 편의점(15만부 기념 윈터 에디션),김호연,나무옆의자,"12,600",http://image.kyobobook.co.kr/images/book/large/188/l9791161571188.jpg
한국소설,달러구트 꿈 백화점(100만부 기념 합본호: Gift Edition),이미예,팩토리나인,"21,600",http://image.kyobobook.co.kr/images/book/large/252/l9791165344252.jpg
한국소설,밝은 밤,최은영,문학동네,"13,050",http://image.kyobobook.co.kr/images/book/large/179/l9788954681179.jpg
한국소설,"어서 오세요, 휴남동 서점입니다",황보름,클레이하우스,"13,500",http://image.kyobobook.co.kr/images/book/large/143/l9791197377143.jpg
한국소설,옷소매 붉은 끝동 세트,강미강,청어람,"20,700",http://image.kyobobook.co.kr/images/book/large/507/l9791104911507.jpg
한국소설,달러구트 꿈 백화점. 2,이미예,팩토리나인,"12,420",http://image.kyobobook.co.kr/images/book/large/729/l9791165343729.jpg
한국소설,지구 끝의 온실,김초엽,자이언트북스,"13,500",http://image.kyobobook.co.kr/images/book/large/001/l9791191824001.jpg
한국소설,아몬드,손원평,창비,"10,800",http://image.kyobobook.co.kr/images/book/large/267/l9788936434267.jpg
한국소설,달러구트 꿈 백화점,이미예,팩토리나인,"12,420",http://image.kyobobook.co.kr/images/book/large/909/l9791165341909.jpg
한국소설,모순,양귀자,쓰다,"11,700",http://image.kyobobook.co.kr/images/book/large/012/l9788998441012.jpg
한국소설,완전한 행복,정유정,은행나무,"14,220",http://image.kyobobook.co.kr/images/book/large/280/l9791167370280.jpg
한국소설,그 많던 싱아는 누가 다 먹었을까,박완서,세계사,"11,700",http://image.kyobobook.co.kr/images/book/large/925/l9788933801925.jpg
한국소설,불장난(제45회 이상문학상 작품집 2022년),손보미,문학사상,"13,950",http://image.kyobobook.co.kr/images/book/large/336/l9788970125336.jpg
한국소설,장미의 이름은 장미,은희경,문학동네,"13,500",http://image.kyobobook.co.kr/images/book/large/736/l9788954684736.jpg
한국소설,우리가 빛의 속도로 갈 수 없다면,김초엽,허블,"12,600",http://image.kyobobook.co.kr/images/book/large/018/l9791190090018.jpg
한국소설,서영동 이야기,조남주,한겨레출판사,"13,500",http://image.kyobobook.co.kr/images/book/large/563/l9791160407563.jpg
한국소설,구의 증명,최진영,은행나무,"7,200",http://image.kyobobook.co.kr/images/book/large/556/l9788956608556.jpg
한국소설,종의 기원,정유정,은행나무,"11,700",http://image.kyobobook.co.kr/images/book/large/959/l9788956609959.jpg
한국소설,작별하지 않는다,한강,문학동네,"12,600",http://image.kyobobook.co.kr/images/book/large/152/l9788954682152.jpg
한국소설,"시선으로부터,",정세랑,문학동네,"12,600",http://image.kyobobook.co.kr/images/book/large/214/l9788954672214.jpg
한국소설,므레모사,김초엽,현대문학,"12,600",http://image.kyobobook.co.kr/images/book/large/821/l9791167900821.jpg
한국소설,백의 그림자,황정은,창비,"13,500",http://image.kyobobook.co.kr/images/book/large/715/l9788936438715.jpg
한국소설,천 개의 파랑,천선란,허블,"12,600",http://image.kyobobook.co.kr/images/book/large/261/l9791190090261.jpg
한국소설,나목,박완서,세계사,"12,600",http://image.kyobobook.co.kr/images/book/large/741/l9788933801741.jpg
한국소설,엄마의 말뚝,박완서,세계사,"14,400",http://image.kyobobook.co.kr/images/book/large/840/l9788933801840.jpg
한국소설,망원동 브라더스,김호연,나무옆의자,"11,700",http://image.kyobobook.co.kr/images/book/large/129/l9788997962129.jpg
한국소설,전지적 독자 시점 PART. 1(제4의 벽 북스탠드 에디션 세트),싱숑,비채,"115,200",http://image.kyobobook.co.kr/images/book/large/576/l9788934967576.jpg
한국소설,날마다 만우절,윤성희,문학동네,"12,600",http://image.kyobobook.co.kr/images/book/large/691/l9788954680691.jpg
한국소설,방금 떠나온 세계,김초엽,한겨레출판사,"13,500",http://image.kyobobook.co.kr/images/book/large/504/l9791160406504.jpg
한국소설,"칵테일, 러브, 좀비",조예은,안전가옥,"9,000",http://image.kyobobook.co.kr/images/book/large/756/l9791190174756.jpg
